################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2312421952009037E-02 a       117     0     4     1    27
 -3.2235302848924069E-01 a       118     0     4     1    28
  1.1791975264960844E-01 a       119     0     4     1    29
  5.4660705183829719E-02 a       120     0     4     1    30
 -9.3326255972471406E-02 a       121     0     5     1     1
  5.1255383931805210E-01 a       122     0     5     1     2
 -7.8805377064942950E-02 a       123     0     5     1     3
  4.5289189097857019E-01 a       124     0     5     1     4
  7.0539704369296852E-02 a       125     0     5     1     5
  8.6864940651213973E-02 a       126     0     5     1     6
  6.5056832694662237E-01 a       127     0     5     1     7
  5.0403509754687748E-01 a       128     0     5     1     8
  2.5664506181542372E-02 a       129     0     5     1     9
  1.2836541761691995E+00 a       130     0     5     1    10
  2.1737735669026204E-01 a       131     0     5     1    11
 -4.3472562652321906E-01 a       132     0     5     1    12
  2.9533399411615513E-01 a       133     0     5     1    13
 -5.6157331121329546E-01 a       134     0     5     1    14
 -1.0715398323637906E-01 a       135     0     5     1    15
  5.4126940600880447E-01 a       136     0     5     1    16
  8.1579973711955578E-02 a       137     0     5     1    17
  8.9954533622978494E-01 a       138     0     5     1    18
  3.2813048416836860E-01 a       139     0     5     1    19
  1.6485863070711154E-01 a       140     0     5     1    20
 -2.9958828624091771E-01 a       141     0     5     1    21
 -9.5301402317045633E-02 a       142     0     5     1    22
  4.8415934075578021E-01 a       143     0     5     1    23
  7.7826768761558016E-02 a       144     0     5     1    24
 -9.1032974778581910E-02 a       145     0     5     1    25
  2.7541511054447881E-01 a       146     0     5     1    26
  8.5462517218847761E-02 a       147     0     5     1    27
 -5.7916128239686271E-01 a       148     0     5     1    28
 -2.5916853960301667E-01 a       149     0     5     1    29
  3.1725307647320017E-01 a       150     0     5     1    30
  8.7451331802632370E-02 a       151     0     6     1     1
 -5.4387171041595950E-01 a       152     0     6     1     2
 -1.3875733359380701E-01 a       153     0     6     1     3
 -6.1010010424470706E-01 a       154     0     6     1     4
  1.8322208256100306E-01 a       155     0     6     1     5
 -2.3851521011672228E-01 a       156     0     6     1     6
 -3.9956961431124671E-01 a       157     0     6     1     7
 -5.5490634453226340E-01 a       158     0     6     1     8
 -4.6732936361195265E-01 a       159     0     6     1     9
 -8.4878063674565807E-01 a       160     0     6     1    10
 -5.2288168095551324E-01 a       161     0     6     1    11
  1.1770453425081795E+00 a       162     0     6     1    12
 -5.9979260726366801E-01 a       163     0     6     1    13
  2.5551171058221267E-01 a       164     0     6     1    14
  2.3750053508538377E-01 a       165     0     6     1    15
  2.2620097166872186E-01 a       166     0     6     1    16
 -2.7239991840040306E-01 a       167     0     6     1    17
 -3.2361893202119918E-01 a       168     0     6     1    18
 -3.9721965769015335E-02 a       169     0     6     1    19
