################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.2254868424911332E-02 a       116     0     4     1    26
 -6.8802489431543670E-02 a       117     0     4     1    27
  9.1344577196705204E-02 a       118     0     4     1    28
  8.0014412879680419E-02 a       119     0     4     1    29
  2.8037142969498596E-01 a       120     0     4     1    30
 -4.4570422511398877E-01 a       121     0     5     1     1
  6.2106725292349640E-01 a       122     0     5     1     2
  5.2945675525801472E-01 a       123     0     5     1     3
  2.2422721093178538E-01 a       124     0     5     1     4
 -8.5761088430914040E-02 a       125     0     5     1     5
  7.1469036634448119E-02 a       126     0     5     1     6
  2.5037638306342336E-01 a       127     0     5     1     7
 -7.7143889026784151E-02 a       128     0     5     1     8
 -9.9959865921031565E-02 a       129     0     5     1     9
  6.1741284202738410E-02 a       130     0     5     1    10
  1.5753614351382639E-01 a       131     0     5     1    11
 -1.9316083555330035E-01 a       132     0     5     1    12
  1.4630703896058023E-01 a       133     0     5     1    13
  3.7057104507369998E-01 a       134     0     5     1    14
 -2.4854573373590305E-01 a       135     0     5     1    15
 -5.4118521902293715E-01 a       136     0     5     1    16
  3.7165181016239851E-01 a       137     0     5     1    17
 -9.4519847979765342E-02 a       138     0     5     1    18
  3.5609943617408485E-01 a       139     0     5     1    19
  1.3968771701712010E-01 a       140     0     5     1    20
 -1.3898893730751788E-01 a       141     0     5     1    21
 -8.6948672108013714E-01 a       142     0     5     1    22
 -3.5183865644813483E-01 a       143     0     5     1    23
  1.8496798543699988E-01 a       144     0     5     1    24
 -1.6757080282359191E-01 a       145     0     5     1    25
 -1.8155665870118676E-01 a       146     0     5     1    26
 -5.2945829481794482E-01 a       147     0     5     1    27
 -3.8013247945992462E-01 a       148     0     5     1    28
  4.8117713436002352E-01 a       149     0     5     1    29
  9.9404320597990092E-02 a       150     0     5     1    30
  2.9403700804385213E-01 a       151     0     6     1     1
 -2.1525973342957422E-01 a       152     0     6     1     2
  2.4044416449096934E-01 a       153     0     6     1     3
 -2.3433926904407706E-02 a       154     0     6     1     4
 -6.1887019455723037E-02 a       155     0     6     1     5
 -3.6043508746835157E-01 a       156     0     6     1     6
 -4.0689762506761190E-01 a       157     0     6     1     7
  1.7733297027587291E-01 a       158     0     6     1     8
  2.2744449302448591E-01 a       159     0     6     1     9
  1.6890411944000444E-01 a       160     0     6     1    10
 -7.6789354437913751E-02 a       161     0     6     1    11
 -2.5011091058044332E-01 a       162     0     6     1    12
  4.5952917029117901E-01 a       163     0     6     1    13
 -2.4929705367310040E-01 a       164     0     6     1    14
  4.7639514222065932E-01 a       165     0     6     1    15
  3.8244693518500739E-01 a       166     0     6     1    16
  1.1827839237659959E-01 a       167     0     6     1    17
 -1.6574037331872077E-01 a       168     0     6     1    18
 -2.4308164739883231E-01 a       169     0     6     1    19
