################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.0012985418668032E-01 a       117     0     6     1    17
 -1.6485331001334999E-01 a       118     0     6     1    18
  3.6866210641189606E-01 a       119     0     6     1    19
 -3.6012984857241437E-01 a       120     0     6     1    20
  3.1165082202609240E-01 a       121     0     7     1     1
 -4.3502203354270347E-01 a       122     0     7     1     2
  4.9975771071936975E-01 a       123     0     7     1     3
  6.1960091857664615E-02 a       124     0     7     1     4
  3.0330019771464267E-01 a       125     0     7     1     5
  5.0267560156544489E-01 a       126     0     7     1     6
 -1.2799480378109965E-01 a       127     0     7     1     7
 -6.0038402905283983E-01 a       128     0     7     1     8
 -5.8781842125736050E-01 a       129     0     7     1     9
 -3.0556532164214406E-01 a       130     0     7     1    10
 -5.2143324549779968E-01 a       131     0     7     1    11
 -9.7917073306567987E-02 a       132     0     7     1    12
 -1.2991522797562546E-01 a       133     0     7     1    13
  8.1761535189120826E-02 a       134     0     7     1    14
  2.1467647934532691E-01 a       135     0     7     1    15
  4.5748056197825841E-02 a       136     0     7     1    16
 -7.8818765617140762E-01 a       137     0     7     1    17
  1.5596630430818448E-01 a       138     0     7     1    18
 -5.7881903150157274E-02 a       139     0     7     1    19
 -1.0327419660148220E+00 a       140     0     7     1    20
  2.3604255208371699E-02 a       141     0     8     1     1
  4.8238938253339810E-02 a       142     0     8     1     2
  7.7568905723882065E-01 a       143     0     8     1     3
 -4.8139457893194743E-01 a       144     0     8     1     4
  4.9774365776724844E-01 a       145     0     8     1     5
 -1.0727595315054182E-01 a       146     0     8     1     6
  1.9656433801645747E-02 a       147     0     8     1     7
  5.3213587610316426E-01 a       148     0     8     1     8
 -5.6676185903428411E-01 a       149     0     8     1     9
  5.2423208413769873E-01 a       150     0     8     1    10
  1.0141737025967221E+00 a       151     0     8     1    11
 -1.0927887108374963E-01 a       152     0     8     1    12
  4.2880690380234487E-01 a       153     0     8     1    13
 -2.3385149592735405E-01 a       154     0     8     1    14
 -9.0894054317385925E-02 a       155     0     8     1    15
 -3.0821747969997720E-01 a       156     0     8     1    16
  9.1197465997129190E-01 a       157     0     8     1    17
  2.8456381342182785E-01 a       158     0     8     1    18
 -3.7069097972094278E-01 a       159     0     8     1    19
  1.0089163487366124E+00 a       160     0     8     1    20
  2.7867690164799291E-01 a       161     0     9     1     1
  4.9504071172639308E-01 a       162     0     9     1     2
  7.8000330030376125E-02 a       163     0     9     1     3
  4.1586902973502121E-02 a       164     0     9     1     4
 -4.0003843817803482E-02 a       165     0     9     1     5
 -2.1184706980825330E-01 a       166     0     9     1     6
  2.8837079057736337E-01 a       167     0     9     1     7
  2.2809089129790391E-01 a       168     0     9     1     8
  3.0183220699521657E-01 a       169     0     9     1     9
  3.4089823764408153E-02 a       170     0     9     1    10
  1.0707983282513615E-01 a       171     0     9     1    11
  1.0348678284152274E-01 a       172     0     9     1    12
  7.4551194348526764E-02 a       173     0     9     1    13
  2.1865049753792826E-01 a       174     0     9     1    14
  6.0052615041821945E-02 a       175     0     9     1    15
  5.9587232716513128E-01 a       176     0     9     1    16
 -8.5818711885895627E-02 a       177     0     9     1    17
 -4.8357901216370908E-01 a       178     0     9     1    18
 -4.6588863695618532E-01 a       179     0     9     1    19
  6.1093315493340494E-01 a       180     0     9     1    20
 -5.2335089906346006E-02 a       181     0    10     1     1
 -6.1615935328928818E-02 a       182     0    10     1     2
 -3.4037781027761854E-01 a       183     0    10     1     3
 -1.9502173904327907E-01 a       184     0    10     1     4
 -2.8548875039740790E-01 a       185     0    10     1     5
 -1.9507598587953581E-01 a       186     0    10     1     6
  2.9325761182086807E-01 a       187     0    10     1     7
  3.1314392530582341E-01 a       188     0    10     1     8
 -1.2559951519087154E-01 a       189     0    10     1     9
  5.3200310795985695E-02 a       190     0    10     1    10
  1.1485276758142719E-01 a       191     0    10     1    11
  1.8628735796341001E-01 a       192     0    10     1    12
 -6.7712454798281349E-02 a       193     0    10     1    13
 -2.7681093947222152E-01 a       194     0    10     1    14
  1.5027410580333569E-01 a       195     0    10     1    15
  9.7476292944630019E-02 a       196     0    10     1    16
 -4.8771602957325477E-01 a       197     0    10     1    17
 -3.2167188021228582E-01 a       198     0    10     1    18
 -2.9663043385675397E-01 a       199     0    10     1    19
  1.6496048600455937E-01 a       200     0    10     1    20
  1.6606199186477907E-01 a       201     0    11     1     1
 -4.8067167164744982E-02 a       202     0    11     1     2
 -2.7710998796891810E-02 a       203     0    11     1     3
 -8.3433837980563225E-02 a       204     0    11     1     4
  2.8835839675979066E-02 a       205     0    11     1     5
 -6.7777101127679262E-02 a       206     0    11     1     6
  2.8268636761681135E-02 a       207     0    11     1     7
  1.4516299820314557E-01 a       208     0    11     1     8
 -3.4661806481935165E-01 a       209     0    11     1     9
 -3.6587448992137717E-01 a       210     0    11     1    10
  6.1680345064733320E-02 a       211     0    11     1    11
  3.3370670156355697E-01 a       212     0    11     1    12
  6.1426413994375838E-02 a       213     0    11     1    13
 -2.9064395390533937E-01 a       214     0    11     1    14
 -5.8625918193243448E-02 a       215     0    11     1    15
 -3.8166489477774131E-02 a       216     0    11     1    16
 -3.0379259575008222E-01 a       217     0    11     1    17
 -3.0431550457212481E-01 a       218     0    11     1    18
 -2.8951007909290544E-01 a       219     0    11     1    19
 -1.9186395018342051E-01 a       220     0    11     1    20
 -1.8623634006012477E-01 a       221     0    12     1     1
 -3.5996403864387050E-01 a       222     0    12     1     2
 -3.0737259964405828E-01 a       223     0    12     1     3
 -3.1736302907223479E-01 a       224     0    12     1     4
  1.8655596318836246E-01 a       225     0    12     1     5
  1.5264260892457165E-02 a       226     0    12     1     6
  6.6941206046758290E-03 a       227     0    12     1     7
 -1.7048875809208330E-01 a       228     0    12     1     8
  1.3806396953971009E-01 a       229     0    12     1     9
  1.2390013365890475E-01 a       230     0    12     1    10
 -4.9156280163551908E-01 a       231     0    12     1    11
  2.5423800090732712E-01 a       232     0    12     1    12
  1.0049869339401367E-01 a       233     0    12     1    13
 -1.6765929138932570E-01 a       234     0    12     1    14
 -1.0272454325909681E-01 a       235     0    12     1    15
 -2.9200228718683947E-02 a       236     0    12     1    16
  2.9198463764970967E-01 a       237     0    12     1    17
 -2.1241021532094430E-02 a       238     0    12     1    18
  4.4248136224432161E-01 a       239     0    12     1    19
 -1.2651013308367914E-01 a       240     0    12     1    20
 -6.0924804566770463E-01 a       241     0    13     1     1
  4.1746743917771063E-02 a       242     0    13     1     2
 -1.7236461162819579E-02 a       243     0    13     1     3
  3.2070030013586620E-01 a       244     0    13     1     4
 -1.5384979501810258E-02 a       245     0    13     1     5
 -3.1654123937143108E-01 a       246     0    13     1     6
  3.7534823381567134E-01 a       247     0    13     1     7
  3.4613259257510892E-01 a       248     0    13     1     8
  7.1657790739477374E-03 a       249     0    13     1     9
 -3.4628626800141227E-01 a       250     0    13     1    10
  1.1955842747593261E-02 a       251     0    13     1    11
 -4.3177412479333438E-01 a       252     0    13     1    12
 -3.0918976668305553E-01 a       253     0    13     1    13
  4.4687042543109229E-01 a       254     0    13     1    14
  2.3246545491655379E-01 a       255     0    13     1    15
 -2.2896883870949078E-01 a       256     0    13     1    16
 -1.6211301061940858E-01 a       257     0    13     1    17
  7.1367326304904152E-02 a       258     0    13     1    18
  2.3053848544083833E-01 a       259     0    13     1    19
  4.2064208356164007E-01 a       260     0    13     1    20
 -1.6140913246622240E-01 a       261     0    14     1     1
 -8.2031093019275497E-02 a       262     0    14     1     2
