################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2548787696349887E-01 a         1     0     1     1     1
 -5.6913682805749677E-01 a         2     0     1     1     2
  4.1852029250266526E-01 a         3     0     1     1     3
  5.0380173345270084E-02 a         4     0     1     1     4
 -9.7126543701984119E-02 a         5     0     1     1     5
  2.4598981923246391E-05 a         6     0     1     1     6
  2.2901255660027091E-02 a         7     0     1     1     7
 -2.4205579403306807E-01 a         8     0     1     1     8
 -4.8358576681513263E-02 a         9     0     1     1     9
  5.6640108992806470E-02 a        10     0     1     1    10
 -2.8583587193561140E-02 a        11     0     1     1    11
 -2.3689187577297577E-01 a        12     0     1     1    12
  1.9619015717984398E-01 a        13     0     1     1    13
 -3.6518807414256865E-02 a        14     0     1     1    14
  1.0751526108471852E-01 a        15     0     1     1    15
 -4.8314610071228198E-02 a        16     0     1     1    16
  2.5241666692655718E-01 a        17     0     1     1    17
 -6.9948326148426984E-02 a        18     0     1     1    18
 -2.6909491210478070E-01 a        19     0     1     1    19
 -2.3005129932717031E-01 a        20     0     1     1    20
  3.0635835397158268E-02 a        21     0     2     1     1
 -4.3075442152173552E-03 a        22     0     2     1     2
  1.7736505624856111E-01 a        23     0     2     1     3
  2.0304778641018204E-01 a        24     0     2     1     4
  1.5614879283634014E-01 a        25     0     2     1     5
  5.0836562145219762E-02 a        26     0     2     1     6
  3.7105043562212597E-01 a        27     0     2     1     7
  3.2682280717383416E-01 a        28     0     2     1     8
 -7.3243691858721927E-02 a        29     0     2     1     9
 -7.5264488122087109E-02 a        30     0     2     1    10
  7.9766959685694486E-02 a        31     0     2     1    11
 -2.5380487951764530E-01 a        32     0     2     1    12
  4.0432162430692875E-01 a        33     0     2     1    13
 -3.5380066738471605E-02 a        34     0     2     1    14
 -2.2191780848854500E-01 a        35     0     2     1    15
  3.6334226639645174E-02 a        36     0     2     1    16
  1.2540260381741081E-01 a        37     0     2     1    17
  2.7041762417529674E-01 a        38     0     2     1    18
 -1.6606856728371017E-01 a        39     0     2     1    19
 -1.3082647255338850E-01 a        40     0     2     1    20
  9.9343347945850605E-02 a        41     0     3     1     1
 -5.7400444155333963E-02 a        42     0     3     1     2
  3.1660865775957531E-01 a        43     0     3     1     3
  9.5364141333093483E-02 a        44     0     3     1     4
  2.4913141829504859E-01 a        45     0     3     1     5
  4.2925276777612776E-03 a        46     0     3     1     6
 -7.2160710754183913E-02 a        47     0     3     1     7
 -1.9727250614708899E-01 a        48     0     3     1     8
 -2.8939702725608907E-01 a        49     0     3     1     9
 -4.9592392049515800E-02 a        50     0     3     1    10
  9.5861541889995280E-02 a        51     0     3     1    11
 -1.7007847784734886E-01 a        52     0     3     1    12
  3.9803342949048257E-03 a        53     0     3     1    13
 -2.0508970450515505E-02 a        54     0     3     1    14
  2.1951120418170061E-01 a        55     0     3     1    15
 -7.2454367540799106E-02 a        56     0     3     1    16
  1.1643499055465589E-01 a        57     0     3     1    17
 -1.2535524992337921E-02 a        58     0     3     1    18
 -3.2135922788015014E-01 a        59     0     3     1    19
  1.2985781463951218E-02 a        60     0     3     1    20
  1.9266260749498137E-02 a        61     0     4     1     1
  4.6759055663107514E-02 a        62     0     4     1     2
 -2.0740517875195696E-01 a        63     0     4     1     3
  1.5552003624166755E-01 a        64     0     4     1     4
  1.6858861198755626E-01 a        65     0     4     1     5
  1.5015888915064077E-01 a        66     0     4     1     6
 -2.3057291533811033E-01 a        67     0     4     1     7
 -1.6025424139038072E-01 a        68     0     4     1     8
 -4.9355658445156089E-02 a        69     0     4     1     9
  1.4473769702184330E-01 a        70     0     4     1    10
 -3.4260656666645634E-01 a        71     0     4     1    11
  2.4514508815805267E-01 a        72     0     4     1    12
 -2.8827032355770382E-01 a        73     0     4     1    13
  1.7639567831123767E-01 a        74     0     4     1    14
  3.6156618705938431E-01 a        75     0     4     1    15
 -2.0830983921621266E-01 a        76     0     4     1    16
 -3.6332700752360177E-02 a        77     0     4     1    17
 -1.8808713618180914E-01 a        78     0     4     1    18
 -7.2652134522576892E-02 a        79     0     4     1    19
 -2.6037982813933680E-01 a        80     0     4     1    20
  2.1961705369601436E-01 a        81     0     5     1     1
 -6.8503585147343324E-02 a        82     0     5     1     2
  1.8641939358519172E-01 a        83     0     5     1     3
